trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9815925535892828}",25,7,-69.75566749631477,"{0: 7, 1: 6, 2: 5, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.9815002858801808}",25,0,-66.90426430913293,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9814075556772622}",20,0,-90.99396671994221,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9813143606622672}",25,0,-83.11122462840294,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9812206985053156}",25,0,-146.88244161758323,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9811265668648486}",20,0,-55.22397302197646,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.98103196338757}",20,0,-117.58148581813906,"{0: 12, 1: 1, 2: 3, 3: 3, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9809368857083883}",20,13,-4.959034526517424,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.9808413314503566}",25,2,-181.70123827636078,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 3}",1
10,False,"{'a': 0.5, 'e': 0.9807452982246131}",25,0,-84.52726213908689,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9806487836303224}",25,0,-181.09122411989313,"{0: 10, 1: 4, 2: 9, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9805517852546146}",20,0,-87.17484642091175,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9804543006725253}",20,0,-95.15123883948867,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9803563274469347}",30,0,-179.7628305572927,"{0: 16, 1: 1, 2: 10, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9802578631285073}",25,0,-71.05881406894667,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.9801589052556297}",20,0,-139.71131940203605,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9800594513543502}",20,11,-47.34218265955641,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.979959498938316}",25,0,-163.2647169334088,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.9798590455087114}",20,0,-65.57936584963447,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.9797580885541957}",20,0,-105.93130815190241,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.9796566255508393}",25,0,-79.78019144385303,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.9795546539620623}",20,0,-72.3108380261356,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.9794521712385695}",25,0,-123.09272349520865,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 3}",0
24,False,"{'a': 0.5, 'e': 0.9793491748182874}",25,0,-58.02805366505339,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.9792456621263003}",20,0,-62.79530618551061,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.9791416305747853}",30,0,-122.181258732495,"{0: 20, 1: 1, 2: 6, 3: 2, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.9790370775629483}",20,0,-69.05067183392461,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.9789320004769586}",30,0,-91.81486165163321,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.9788263966898835}",20,0,-65.15804955447832,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.9787202635616228}",30,9,-31.52586629435593,"{0: 16, 1: 1, 2: 3, 3: 1, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.9786135984388429}",20,15,-2.948922146157755,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.9785063986549101}",30,0,-125.61934692583431,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.9783986615298241}",30,0,-67.52382122180182,"{0: 21, 1: 1, 2: 7, 3: 1, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.9782903843701515}",20,0,-61.67024416389974,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.9781815644689572}",20,0,-95.11524940656767,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.9780721991057384}",30,0,-184.31016196263204,"{0: 18, 1: 4, 2: 3, 3: 2, 4: 3}",0
37,False,"{'a': 0.5, 'e': 0.9779622855463551}",20,0,-19.346498875424913,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.9778518210429626}",25,0,-128.8623954585988,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.9777408028339428}",25,0,-176.3629643375865,"{0: 13, 1: 3, 2: 4, 3: 3, 4: 2}",0
40,False,"{'a': 0.5, 'e': 0.9776292281438344}",30,0,-55.018405514197575,"{0: 20, 1: 4, 2: 6, 3: 0, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.9775170941832645}",20,0,-110.07812656722842,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.9774043981488781}",30,0,-120.15124452951844,"{0: 18, 1: 2, 2: 9, 3: 0, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.9772911372232687}",20,0,-104.0340544444218,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.977177308574907}",25,0,-116.27310149374671,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.977062909358071}",25,0,-71.14340748679668,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.9769479367127745}",30,0,-176.59528897630426,"{0: 19, 1: 3, 2: 4, 3: 1, 4: 3}",0
47,False,"{'a': 0.5, 'e': 0.9768323877646949}",20,0,-60.9840278518217,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.976716259625103}",25,0,-99.49783762913127,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.976599549390789}",20,12,4.850297540992802,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.9764822541439909}",25,0,-184.5461220418158,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.9763643709523215}",25,0,-236.08345731808106,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 5}",0
52,False,"{'a': 0.5, 'e': 0.976245896868695}",30,0,-177.5016486284798,"{0: 14, 1: 6, 2: 8, 3: 0, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.9761268289312529}",30,16,-36.04016592942458,"{0: 9, 1: 3, 2: 1, 3: 1, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.9760071641632908}",30,0,-112.12090926642347,"{0: 20, 1: 3, 2: 4, 3: 2, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.9758868995731831}",20,0,-238.40466305706437,"{0: 7, 1: 3, 2: 4, 3: 3, 4: 3}",0
56,False,"{'a': 0.5, 'e': 0.9757660321543089}",20,0,-102.70840621102793,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.9756445588849763}",25,0,-128.75610975805782,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
58,False,"{'a': 0.5, 'e': 0.9755224767283474}",25,0,-70.22777331287021,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.9753997826323617}",25,0,-256.87450890850835,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 5}",0
60,False,"{'a': 0.5, 'e': 0.9752764735296606}",20,0,-84.8204387309211,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.97515254633751}",25,0,-213.76708171468445,"{0: 14, 1: 3, 2: 3, 3: 1, 4: 4}",0
62,False,"{'a': 0.5, 'e': 0.9750279979577239}",20,0,-29.871513121450867,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.9749028252765859}",20,0,-124.15777142342223,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
64,False,"{'a': 0.5, 'e': 0.9747770251647728}",30,3,-186.7534544398977,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 4}",1
65,False,"{'a': 0.5, 'e': 0.9746505944772751}",25,0,-111.43384548253053,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
66,False,"{'a': 0.5, 'e': 0.9745235300533189}",25,0,-216.1479448624332,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 4}",0
67,False,"{'a': 0.5, 'e': 0.9743958287162874}",25,0,-146.55286073329964,"{0: 13, 1: 8, 2: 0, 3: 2, 4: 2}",0
68,False,"{'a': 0.5, 'e': 0.9742674872736401}",25,0,-20.456530756513818,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.9741385025168344}",25,0,-204.96988585364772,"{0: 14, 1: 0, 2: 6, 3: 2, 4: 3}",0
70,False,"{'a': 0.5, 'e': 0.9740088712212447}",20,0,-105.76923552275458,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.9738785901460818}",25,0,-115.91199208324015,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
72,False,"{'a': 0.5, 'e': 0.973747656034312}",25,0,-147.29601562638425,"{0: 16, 1: 2, 2: 2, 3: 3, 4: 2}",0
73,False,"{'a': 0.5, 'e': 0.9736160656125759}",25,0,-131.81526615982162,"{0: 17, 1: 3, 2: 1, 3: 2, 4: 2}",0
74,False,"{'a': 0.5, 'e': 0.9734838155911059}",25,3,-105.96620396059797,"{0: 13, 1: 1, 2: 6, 3: 1, 4: 1}",1
75,False,"{'a': 0.5, 'e': 0.9733509026636445}",25,11,-48.071901972618136,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 1}",1
76,False,"{'a': 0.5, 'e': 0.9732173235073618}",25,0,-102.26037558824419,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.9730830747827719}",20,1,-20.843227292995678,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.9729481531336496}",25,0,-98.71039436660452,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
79,False,"{'a': 0.5, 'e': 0.9728125551869466}",20,0,-109.98518897114998,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
80,False,"{'a': 0.5, 'e': 0.9726762775527075}",20,0,-173.95582594314962,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
81,False,"{'a': 0.5, 'e': 0.9725393168239839}",25,17,-0.31606982452194443,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.9724016695767507}",25,0,-95.54349978875625,"{0: 14, 1: 3, 2: 6, 3: 2, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.9722633323698195}",25,0,-86.00509057452172,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
