trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-96.32809909596837,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",35,0,-196.47095665317744,"{0: 20, 1: 7, 2: 4, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-47.43925688376966,"{0: 18, 1: 4, 2: 1, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-141.68754411454574,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-277.00289271604487,"{0: 10, 1: 1, 2: 8, 3: 2, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-121.29647479099839,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-48.60941410440787,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-143.76474248869084,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,4,-38.65421364753737,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-137.35535020568557,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-177.96460231411717,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-125.9879248519683,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-122.14233168645933,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-97.80541197844755,"{0: 12, 1: 4, 2: 9, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-138.14696176028002,"{0: 12, 1: 2, 2: 8, 3: 3, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-224.04941891548089,"{0: 13, 1: 3, 2: 4, 3: 1, 4: 4}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-83.44452560539106,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-34.95261306754504,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-53.20793968775502,"{0: 23, 1: 0, 2: 6, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-206.89336323489115,"{0: 18, 1: 1, 2: 7, 3: 0, 4: 4}",0
1,True,"{'a': 0, 'e': 0}",20,10,-42.10493790859532,"{0: 6, 1: 0, 2: 3, 3: 1, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,0,-86.77428111976563,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,0,-191.0892951134224,"{0: 13, 1: 1, 2: 8, 3: 0, 4: 3}",0
4,True,"{'a': 0, 'e': 0}",25,0,-185.1675920640584,"{0: 11, 1: 2, 2: 9, 3: 1, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",30,0,-187.42086256150733,"{0: 17, 1: 3, 2: 7, 3: 0, 4: 3}",0
6,True,"{'a': 0, 'e': 0}",30,23,4.287604666069847,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,0,-191.81257972767068,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
8,True,"{'a': 0, 'e': 0}",30,15,-29.18797579331068,"{0: 10, 1: 3, 2: 1, 3: 1, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",35,0,-211.75784884937116,"{0: 22, 1: 1, 2: 7, 3: 2, 4: 3}",0
10,True,"{'a': 0, 'e': 0}",25,0,-247.77087358619931,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 5}",0
